movie_name,release_year,critics,rating_score,directors,actors
13 Assassins,2011,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",95%,Takashi Miike,"['Koji Yakusho', 'Takayuki Yamada', 'Yusuke Iseya', 'Goro Inagaki']"
Full Contact,1992,No consensus yet.,88%,Ringo Lam,"['Yun-Fat Chow', 'Simon Yam', 'Ann Bridgewater', 'Anthony Wong']"
Indiana Jones and the Last Crusade,1989,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",88%,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']"
Kung Fu Hustle,2005,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",90%,Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Shengyi Huang', 'Kwok-Kwan Chan']"
A Better Tomorrow,2010,No consensus yet.,93%,Hae-sung Song,"['Yun-Fat Chow', 'Leslie Cheung', 'Lung Ti', 'Young Pao I']"
Iron Man,2008,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",94%,,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow']"
The Night Comes For Us,2018,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.",90%,Timo Tjahjanto,"['Joe Taslim', 'Iko Uwais', 'Julie Estelle', 'Sunny Pang']"
Logan,2017,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",93%,James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Boyd Holbrook', 'Stephen Merchant']"
Goldfinger,1964,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.",98%,Guy Hamilton,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman', 'Shirley Eaton']"
Assault on Precinct 13,1976,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.",98%,John Carpenter,"['Austin Stoker', 'Darwin Joston', 'Gilbert De la Pena', 'Laurie Zimmer']"
Wonder Woman,2017,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",93%,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Connie Nielsen', 'Robin Wright']"
Fist of Fury (Jing wu men),1972,No consensus yet.,92%,Lo Wei,"['Bruce Lee', 'Miao Ker Hsiu', 'James Tien', 'Robert Baker']"
Captain America: The Winter Soldier,2014,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",90%,Joe Russo,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Anthony Mackie']"
Oldboy,2005,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",82%,Park Chan-wook,"['Choi Min-sik', 'Gang Hye-jeong', 'Yoo Ji-tae', 'Gang Hye-jung']"
The French Connection,1971,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.",98%,William Friedkin,"['Gene Hackman', 'Fernando Rey', 'Roy Scheider', 'Marcel Bozzuffi']"
Furious 7,2015,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.",81%,James Wan,"['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Dwayne Johnson']"
La Femme Nikita (Nikita),1990,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,88%,Luc Besson,"['Tcheky Karyo', 'Anne Parillaud', 'Jeanne Moreau', 'Jean Reno']"
Supercop,1996,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.",96%,Stanley Tong,"['Jackie Chan', 'Maggie Cheung', 'Kenneth Tsang Kong', 'Wah Yuen']"
Dirty Harry,1971,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.",89%,Don Siegel,"['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino', 'John Mitchum']"
Live Die Repeat: Edge of Tomorrow,2014,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.",90%,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Jonas Armstrong']"
X2: X-Men United,2003,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.",85%,Bryan Singer,"['Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen']"
The Fugitive,1993,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",96%,Andrew Davis,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']"
Black Panther,2018,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,97%,Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']"
Inception,2010,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.",87%,Christopher Nolan,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt', 'Marion Cotillard']"
Braveheart,1995,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.",77%,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Catherine McCormack']"
Minority Report,2002,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.",90%,Steven Spielberg,"['Tom Cruise', 'Colin Farrell', 'Samantha Morton', 'Max von Sydow']"
Avengers: Endgame,2019,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",94%,Joe Russo,"['Robert Downey Jr.', 'Mark Ruffalo', 'Scarlett Johansson', 'Chris Evans']"
Dredd,2012,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.",79%,Pete Travis,"['Karl Urban', 'Olivia Thirlby', 'Wood Harris', 'Lena Headey']"
The Bourne Identity,2002,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.",83%,Doug Liman,"['Matt Damon', 'Franka Potente', 'Chris Cooper', 'Clive Owen']"
Ip Man,2010,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.",85%,Wilson Yip,"['Donnie Yen', 'Hiroyuki Ikeuchi', 'Simon Yam', 'Xiong Dailin']"
Face/Off,1997,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.",92%,John Woo,"['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Alessandro Nivola']"
To Live and Die in L.A.,1985,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.",91%,William Friedkin,"['William L. Petersen', 'Willem Dafoe', 'John Pankow', 'Debra Feuer']"
The Dark Knight,2008,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",94%,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Maggie Gyllenhaal']"
Mission: Impossible Ghost Protocol,2011,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",93%,Brad Bird,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton']"
Fast Five,2011,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",77%,Justin Lin,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster', 'Dwayne Johnson']"
Lethal Weapon,1987,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.",82%,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Gary Busey', 'Darlene Love']"
The Rock,1996,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.",66%,Michael Bay,"['Sean Connery', 'Nicolas Cage', 'Ed Harris', 'Michael Biehn']"
RoboCop,1987,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.",89%,Paul Verhoeven,"['Peter Weller', 'Nancy Allen', 'Ronny Cox', 'Kurtwood Smith']"
John Wick: Chapter 2,2017,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.",89%,Chad Stahelski,"['Keanu Reeves', 'John Leguizamo', 'Bridget Moynahan', 'Thomas Sadoski']"
Casino Royale,2006,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.",95%,Martin Campbell,"['Daniel Craig', 'Eva Green', 'Mads Mikkelsen', 'Judi Dench']"
Baby Driver,2017,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.",93%,Edgar Wright,"['Ansel Elgort', 'Kevin Spacey', 'Lily James', 'Jon Bernthal']"
Fist of Legend (Jing wu ying xiong),1994,No consensus yet.,100%,Gordon Chan,"['Jet Li', 'Paul Chiang', 'Yasuaki Kurata', 'Shinobu Nakayama (II)']"
The Killer,1989,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,98%,John Woo,"['Yun-Fat Chow', 'Sally Yeh', 'Danny Lee', 'Kenneth Tsang']"
The Raid 2,2014,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",80%,Gareth Evans,"['Iko Uwais', 'Yahan Ruhian', 'Arifin Putra', 'Oka Antara']"
Enter the Dragon,1973,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.",94%,Robert Clouse,"['Bruce Lee', 'John Saxon', 'Jim Kelly', 'Shih Kien']"
Commando,1985,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.",71%,Mark L. Lester,"['Arnold Schwarzenegger', 'Alyssa Milano', 'Rae Dawn Chong', 'Dan Hedaya']"
First Blood,1982,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",87%,Ted Kotcheff,"['Sylvester Stallone', 'Richard Crenna', 'Brian Dennehy', 'David Caruso']"
Mission: Impossible Rogue Nation,2015,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,93%,Christopher McQuarrie,"['Tom Cruise', 'Jeremy Renner', 'Ving Rhames', 'Simon Pegg']"
The Terminator,1984,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.",100%,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']"
Gladiator,2000,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,76%,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
Kill Bill: Volume 1,2003,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,85%,Quentin Tarantino,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'David Carradine']"
Léon: The Professional,1994,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,73%,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
Speed,1994,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.",94%,Lee Sang-woo,[]
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,83%,Lau Kar-Leung,"['Jackie Chan', 'Siu Tin Yuen', 'Jang Lee Hwang', 'Kau Lam']"
John Wick,2014,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",86%,David Leitch,"['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen', 'Adrianne Palicki']"
"Crouching Tiger, Hidden Dragon",2001,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",97%,Ang Lee,"['Yun-Fat Chow', 'Michelle Yeoh', 'Ziyi Zhang', 'Chen Chang']"
Predator,1987,"Predator: Part sci-fi, part horror, part action -- all muscle.",81%,John McTiernan,"['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo', 'Bill Duke']"
The Bourne Ultimatum,2007,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",92%,Paul Greengrass,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn']"
Total Recall,1990,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.",82%,Paul Verhoeven,"['Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone', 'Ronny Cox']"
Mad Max 2: The Road Warrior,1982,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",95%,George Miller,"['Mel Gibson', 'Bruce Spence', 'Vernon Wells', 'Emil Minty']"
Heat,1995,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.",86%,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']"
The Raid: Redemption,2012,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.",86%,Gareth Evans,"['Iko Uwais', 'Joe Taslim', 'Doni Alamsyah', 'Yahan Ruhian']"
Mission: Impossible - Fallout,2018,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",97%,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']"
Raiders of the Lost Ark,1981,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.",95%,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Wolf Kahler']"
Aliens,1986,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",97%,James Cameron,"['Sigourney Weaver', 'Carrie Henn', 'Michael Biehn', 'Paul Reiser']"
Lat sau san taam (Hard-Boiled),1992,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.",94%,John Woo,"['Yun-Fat Chow', 'Tony Leung Chiu Wai', 'Anthony Wong', 'Teresa Mo']"
The Matrix,1999,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.",87%,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Joe Pantoliano']"
Terminator 2: Judgment Day,1991,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.",93%,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
Die Hard,1988,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,93%,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Reginald VelJohnson', 'Bonnie Bedelia']"
Mad Max: Fury Road,2015,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",97%,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Rosie Huntington-Whiteley']"
